name,Gender,Re-Electionist,Year Elected
"EVANGELISTA, BABES",female,yes,2016
"MAGLANQUE, RENE",male,yes,2013
"CARLOS, RICHARD LEE VI",male,no,
"CURA, ARNIGO",male,no,
"GUERRERO, DRA LECK",female,no,
"MANALANSAN, DARWIN",male,no,
"MENDIOLA, TITO",male,yes,2013
"GUILAS, LIZA",female,no,
"MALLARI, MIKE",male,no,
"SANTIAGO, NOY-NOY",male,no,
"TORRES, DANTE",male,no,
"TWAÑO, ANTHONNY",male,no,
"PINEDA-CAYABYAB, MYLYN",female,yes,2007
"CASTRO, NOEL",male,no,
"GARBO, CRISOSTOMO",male,yes,2007
"LUCAS, PYRA",female,no,
"MORALES, BOKING",male,yes,2013
"BALGAN, ANNETTE",female,yes,2013
"FLORES, BOBONG",male,no,
"CUNANAN, PASTOR JOEL",male,no,
"LACSON, MALU-PARAS",female,no,
"PECSON, ROMULO",male,yes,2013
"FLORES, PETER",male,yes,2013
"GUINTU, DAN",male,no,
"MANALASTAS, ROY",male,no,
"TUMANG, TEDDY",male,no,
"DAAG, QUEROLICO",male,no,
"FLORES, EDGAR",male,yes,2013
"DELA CRUZ, CARLING",male,yes,2013
"TAPANG, MICHAEL",male,no,
"SANTIAGO, EDWIN",male,yes,2013
"MACAPAGAL, VENANCIO",male,yes,2013
"BONDOC, MANUEL",male,no,
"SIMBULAN, SONNY",male,no,
"WONG, LEONORA",female,no,
"CONCEPCION, TEK",male,no,
"GADDI, JEROME",male,no,
"GAMBOA, NORBERTO",male,no,
"MONTOYA, RESTITUTO",male,no,
"CRUZ, ALEX",male,no,
"SALALILA, DAGI",male,no,
"MALLARI, REGINO",male,no,
"PINEDA, MATIAS",male,no,
"SAMBO, JOHN",male,no,
"SENGSON, CHIONG CARES",male,no,
"DUCUT, AMADOR",male,no,
"LEONCIO, LALAH",female,yes,2009
"VELASCO, NARDO",male,yes,2013
"PAJETA, JOEL",male,yes,
"SISON, BONG",male,no,
"BALLESTEROS, EDUARDO",male,yes,
"EVANGELISTA, ANO",male,no,
"REPANCOL, ARNOLD",male,no,
"AQUINO, EARL JAMES",male,no,
"CELESTE, ARTHUR",male,yes,2013
"CALLEJO, JOJO",male,no,
"MENCIAS, PAO",male,yes,
"TOLENTINO, MCT",male,no,
"CERDAN, ALDRIN",male,yes,2013
"SOSA, GIBSON JOHN",male,no,
"CHUA, HEIDEE",female,no,
"SAPIGAO, EMMANUEL",male,no,
"MARZAN, JHUN LORD",male,no,
"PERALTA, PHILIPP",male,yes,
"NAVARRO, MARCELO JR.",male,yes,
"PADUA, ARTURO",male,no,
"YAMAMOTO, GWEN",female,yes,2013
"DE LEON, MANOLITO",male,yes,
"PEREZ, JOY",female,no,
"ESPINO, AMADEO",male,yes,
"ONG, EDDIE",male,no,
"CAMACHO, ZENAIDA",female,no,
"DE VERA, LEO",male,no,
"JUNIO, CHATO",female,no,
"MANALANG, ADRIAN",male,no,
"QUIAMBAO, CEZAR",male,no,
"GUICO, RAMON III",male,yes,2013
"AQUINO, JESS",male,no,
"MERRERA, PEDRO",male,no,
"ROSARIO, SIMPLICIO",male,yes,
"CACHO, APIN",male,no,
"CELESTE, ARNOLD",male,yes,
"CANTO, NONIE",male,no,
"CASTRO, CORLETO",male,no,
"ESPINO, JUMEL ANTHONY",male,yes,2013
"ORDUÑA, RODRIGO",male,no,
"DOCTOR, DOMINGO JR.",male,no,
"GUIANG, ALBERTO JR.",male,yes,2013
"BAUZON, JOSEPH ARMAN",male,no,
"GABAT, FLORANTE",male,no,
"MACANLALAY, ROY",male,no,
"FERNANDEZ, BELEN",female,yes,2013
"LIM, CELIA",female,no,
"NACAR, NADINE",female,no,
"VERZOSA, ERIC",male,no,
"MALLARE, VAL",male,no,
"MARTINEZ, MARVIN",male,no,
"ARENAS, DOMY",male,yes,
"CAMACHO, RICARDO",male,yes,
"MANAOIS, CASIMIRO",male,no,
"MISLANG, TITOY",male,no,
"VELASQUEZ, EDWIN",male,no,
