city,province,name,Gender,votes,result
SAN LORENZO,GUIMARAS,"ZAMBARRANO, EDWARD",male,398,L
SAN LORENZO,GUIMARAS,"BRIZAL, CARLIT",male,109,L
SAN LUIS,PAMPANGA,"MACAPAGAL, VENANCIO",male,16419,W
SAN MANUEL,PANGASINAN,"PEREZ, ALAIN JERICO",male,17834,W
SAN NICOLAS,PANGASINAN,"SALDIVAR, REBECCA",female,10614,W
SAN NICOLAS,PANGASINAN,"PRESTOZA, ROMY",male,8603,L
SAN QUINTIN,PANGASINAN,"TIU, CLARK CECIL",male,9369,W
SAN QUINTIN,PANGASINAN,"AQUINO, FRANKLIN",male,7609,L
SAN QUINTIN,PANGASINAN,"UDAN, JUAN SR.",male,54,L
SAN SIMON,PAMPANGA,"WONG, LEONORA",female,16386,W
SAN SIMON,PAMPANGA,"SIMBULAN, SONNY",male,8898,L
SAN SIMON,PAMPANGA,"BONDOC, MANUEL",male,2414,L
SAN VICENTE,PALAWAN,"ALVAREZ, PIE",female,9894,W
SAN VICENTE,PALAWAN,"FOX, MICHELLE",female,3735,L
SANTA ANA,PAMPANGA,"GAMBOA, NORBERTO",male,9320,W
SANTA ANA,PAMPANGA,"CONCEPCION, TEK",male,9259,L
SANTA ANA,PAMPANGA,"GADDI, JEROME",male,3503,L
SANTA ANA,PAMPANGA,"MONTOYA, RESTITUTO",male,1000,L
SANTA BARBARA,PANGASINAN,"ZAPLAN, CARLITO",male,20053,W
SANTA BARBARA,PANGASINAN,"CABANGON, JUAN EMMANUEL",male,17260,L
SANTA MARIA,PANGASINAN,"RAMOS, TEDDY",male,11490,W
SANTA RITA,PAMPANGA,"SALALILA, DAGI",male,9714,W
SANTA RITA,PAMPANGA,"CRUZ, ALEX",male,8364,L
SANTO TOMAS,PAMPANGA,"SAMBO, JOHN",male,8537,W
SANTO TOMAS,PAMPANGA,"PINEDA, MATIAS",male,7235,L
SANTO TOMAS,PANGASINAN,"VILLAR, DICK",male,5805,L
SANTO TOMAS,PAMPANGA,"SENGSON, CHIONG CARES",male,5359,L
SANTO TOMAS,PAMPANGA,"MALLARI, REGINO",male,34,L
SASMUAN (SEXMOAN),PAMPANGA,"VELASCO, NARDO",male,7060,W
SASMUAN (SEXMOAN),PAMPANGA,"LEONCIO, LALAH",female,6934,L
SASMUAN (SEXMOAN),PAMPANGA,"DUCUT, AMADOR",male,1801,L
SIBUNAG,GUIMARAS,"VILCHES, LUBEN",male,6641,W
SIBUNAG,GUIMARAS,"GANGE, PUTONG",male,3904,L
SIBUNAG,GUIMARAS,"TANALEON, JOEL",male,82,L
SIQUIJOR,SIQUIJOR,"QUEZON, RICHARD",male,10051,W
SIQUIJOR,SIQUIJOR,"ADA, PAUL IVAR",male,4141,L
SISON,PANGASINAN,"UY, DANILO",male,11028,W
SISON,PANGASINAN,"PANGASINAN, MINA JOY",female,10596,L
SOFRONIO ESPAÑOLA,PALAWAN,"ACOY, MARS",male,7027,W
SOFRONIO ESPAÑOLA,PALAWAN,"GOMEZ, ZENY",female,5498,L
SOFRONIO ESPAÑOLA,PALAWAN,"JAMILI, BENSON",male,774,L
SUAL,PANGASINAN,"ARCINUE, ROBERTO",male,11553,W
SULTAN DUMALONDONG,LANAO DEL SUR,"KURANGKING, JAMEL",male,1595,W
SULTAN DUMALONDONG,LANAO DEL SUR,"KURANGKING, FATIMA",female,1485,L
SULTAN DUMALONDONG,LANAO DEL SUR,"MANALI, CAMILO",male,111,L
SULTAN DUMALONDONG,LANAO DEL SUR,"BONGAROS, RASMIA",female,9,L
SULTAN DUMALONDONG,LANAO DEL SUR,"KURANGKING, OMEL",male,7,L
SULTAN DUMALONDONG,LANAO DEL SUR,"ASUM, ROHAYNEE",female,6,L
SULTAN DUMALONDONG,LANAO DEL SUR,"KURANGKING, AIMAN",male,6,L
SULTAN DUMALONDONG,LANAO DEL SUR,"PANDAPATAN, TAHA",female,4,L
SULTAN DUMALONDONG,LANAO DEL SUR,"ABARAO, AINAH",male,2,L
SULTAN DUMALONDONG,LANAO DEL SUR,"BACARAMAN, NORAYAH",female,2,L
SULTAN DUMALONDONG,LANAO DEL SUR,"AABASAGAN, NAJEB",male,1,L
SULTAN DUMALONDONG,LANAO DEL SUR,"ABDULCATE, MORSHED",male,1,L
SULTAN DUMALONDONG,LANAO DEL SUR,"AWAL, NORAINA",female,1,L
SULTAN DUMALONDONG,LANAO DEL SUR,"DICASARAN, SITTIE",female,1,L
SULTAN DUMALONDONG,LANAO DEL SUR,"TAMANO, ABDULHADIALMAR",male,1,L
SULTAN DUMALONDONG,LANAO DEL SUR,"ABDULHAMID, DIAMOND",female,0,L
SULTAN DUMALONDONG,LANAO DEL SUR,"ABDULHAMID, HAMMAD",male,0,L
SULTAN DUMALONDONG,LANAO DEL SUR,"MACAINDIG, MORAKAN",male,0,L
SULTAN DUMALONDONG,LANAO DEL SUR,"PANONGGO, ACMAD",male,0,L
TAGOLOAN,LANAO DEL SUR,"CAPAL, MISANGCAD",male,2522,W
TAGOLOAN,LANAO DEL SUR,"LUMPA, ALEX",male,246,L
TAGOLOAN,LANAO DEL SUR,"ABBAS, OGA",male,127,L
TAGOLOAN,LANAO DEL SUR,"CAPAL, COSAIN",male,43,L
TAGOLOAN,LANAO DEL SUR,"CAPAL, ESNAIRA",female,42,L
TAGOLOAN,LANAO DEL SUR,"CAPAL, CANDIDATO",male,25,L
TAGOLOAN,LANAO DEL SUR,"SACAR, ABDAL",male,0,L
TAGOLOAN,LANAO DEL SUR,"SACAR, DIMALIPOS",male,0,L
TAMPARAN,LANAO DEL SUR,"DISOMIMBA, SITTIE AMINA",female,6622,W
TAMPARAN,LANAO DEL SUR,"ALIPONTO, ACMAD JR.",male,3241,L
TAMPARAN,LANAO DEL SUR,"ALI, ZAMZAM",male,354,L
TAMPARAN,LANAO DEL SUR,"DIMA, JAMAEL",male,52,L
TAMPARAN,LANAO DEL SUR,"CABUNTALAN, MALIK",male,21,L
TARAKA,LANAO DEL SUR,"SUMAGAYAN, AREEFAH",female,444,W
TARAKA,LANAO DEL SUR,"COLANGCAG, ALIMAR",male,0,L
TARAKA,LANAO DEL SUR,"COMADUG, SULTAN MALAILAH",male,0,L
TARAKA,LANAO DEL SUR,"MAMANGCAO, JOHAIMAH",male,0,L
TAYTAY,PALAWAN,"SALVAME, ROMY",male,24627,W
